site,url,recommend,title,comment,shoppingmall,price,deliveryfee,category,time,author,views
arca,https://arca.live/b/hotdeal/109022198?p=5,1,퐁퐁 친환경 주방세제 1.2L x 4개 (오렌지/코코넛),11,위메프플러스,"8,500원",무료,생활용품,2024-06-17 03:06,KKK,1260
arca,https://arca.live/b/hotdeal/109021286?p=5,1,완도 활전복 1kg 7-8미,9,위메프,"24,960원",무료,먹거리,2024-06-17 02:51,ㅇㅇ,739
arca,https://arca.live/b/hotdeal/109020953?p=5,4,스테비아 방울토마토 500g x 4팩,24,위메프,"10,970원",무료,먹거리,2024-06-17 02:45,ㅇㅇ,1401
arca,https://arca.live/b/hotdeal/109020228?p=5,1,무항생제 구운계란 대란 60구 + 핑크솔트,7,위메프,"12,580원",무료,먹거리,2024-06-17 02:32,ㅇㅇ,1180
arca,https://arca.live/b/hotdeal/109019658?p=5,6,슈퍼플라워 SF-1000F14XP LEADEX VII PRO PLATINUM 화이트 ATX3.1,68,알리,"205,564원",무료,PC제품,2024-06-17 02:22,지니영,4988
arca,https://arca.live/b/hotdeal/109019476?p=5,1,LIAN LI 리안리 유니 팬 P28 120 트리플 팩 화이트 (P28120-3W),2,11마존,"69,850원",무료,PC제품,2024-06-17 02:19,AI선물상자,2752
arca,https://arca.live/b/hotdeal/109019389?p=5,3,국내산 냉장 다진마늘 2kg,15,위메프,"8,900원",무료,먹거리,2024-06-17 02:17,ㅇㅇ,1253
arca,https://arca.live/b/hotdeal/109018689?p=5,9,호주산 양꼬치큐브 1kg + 쯔란,34,위메프,"12,970원",무료,먹거리,2024-06-17 02:05,ㅇㅇ,4000
arca,https://arca.live/b/hotdeal/109018069?p=5,1,한성 몬스터크랩 72g 15개,10,위메프,"11,650원",무료,먹거리,2024-06-17 01:53,ㅁㅁㅁㅇㅁ,1549
arca,https://arca.live/b/hotdeal/109017743?p=5,0,하리보 할로윈 스케리 펀 젤리 980g 2개,6,쿠팡,"14,550원",무료,먹거리,2024-06-17 01:47,ㅇㅇ,1520
arca,https://arca.live/b/hotdeal/109017568?p=5,6,동원 통그릴 비엔나 1kg 2개 300g 6봉 외 딤섬만두,17,티몬,"13,275원",무료,먹거리,2024-06-17 01:44,ㅇㅇ,1627
arca,https://arca.live/b/hotdeal/109016905?p=5,1,수박 5-7kg 당도선별,20,위메프,"10,870원",무료,먹거리,2024-06-17 01:31,벨렘,1414
arca,https://arca.live/b/hotdeal/109016420?p=5,4,"링크X/오전11시오픈)버거킹 선착순 쿠폰 12,000원",30,쿠팡이츠,"12,000원",무료,먹거리,2024-06-17 01:20,KoringNya,4575
arca,https://arca.live/b/hotdeal/109016112?p=5,0,해물오꼬노미야끼/햄가득부대찌개/매콤오징어볶음 등 밀키트 2인분,6,위메프,"5,960원","3,500원",먹거리,2024-06-17 01:14,ㅇㅇ,1316
arca,https://arca.live/b/hotdeal/109015841?p=5,3,델공홈) S2725DS IPS 100Hz 피벗 QHD 모니터+npay 1.5만,7,네이버,"319,000원",무료,가전제품,2024-06-17 01:07,ㅇㅇ,2348
