site,url,title,date,author,views,likes,comment_count,related_url,shoppingmall,product_name,price,deliveryfee,article,comments
arca,https://arca.live/b/hotdeal/109073306?p=1,"켈로그 다크초코 550g 2봉+콘푸로스트600g1봉+시리얼볼 (10,512원/무료)",2024-06-17T15:38:04.000Z,ㅇㅇ,868,4,8,https://www.tmon.co.kr/deal/12769044822,티몬,켈로그 다크초코 550g 2봉+콘푸로스트600g1봉+시리얼볼,"10,512원",무료,티몬할인 추가로 카카페 결제할인 켈로그 콘푸로스트 다크초코2 콘푸로스트1 사은품해서 쌈,gASVzAIAAAAAAABdlCh9lCiMBmF1dGhvcpSMHuuvvO2KuOy0iOy9lOunm+qzoOyImO2YuOuwleyjvZSMBGRhdGWUjBAyMDI0LTA2LTE3IDE1OjQwlIwHY29udGVudJSMLeuLpO2BrOy0iOy9lCDtkoDrpqzripTqsbQg44S544WHIOyymOydjOuztOuFuJR1fZQoaAKMD+uLqOqzoOuMgOqwgOyhsZRoBIwQMjAyNC0wNi0xNyAxNTo0M5RoBowq7KCA67KI7JeQIOyCsOqxsCDslYTsp4Eg64ukIOuqu+uoueyXiOuLpC4ulHV9lChoAowH7Jyg64+ZM5RoBIwQMjAyNC0wNi0xNyAxNTo0NZRoBowj64uk7YGs7LSI7L2UIO2VnOuyiCDrqLnslrTrtJDslbzsp4CUdX2UKGgCjAnsv6jrpqzslYSUaASMEDIwMjQtMDYtMTcgMTU6NDeUaAaMgeyggOuyiOyXkCDsgqzrtKTripTrjbAg66eb7J6I642U6528IOy9mO2RuOuhnOyKpO2KuOyXkCDstIjsvZTsvZTtjIXtlZzqsbTrjbAg7Jqw7Jyg7JeQIOy9lO2MhSDri6Qg64W57JWE7IScIOy0iOy9lOyasOycoOuQmOuyhOumvJR1fZQoaAKMBu2MveywuJRoBIwQMjAyNC0wNi0xNyAxNTo0OJRoBowN7ZW067OR7LSI7L2UIZR1fZQoaAKMBU1hcmlulGgEjBAyMDI0LTA2LTE3IDE1OjUwlGgGjBfsmpTsppgg7Iuc66as7Ja8IOyLuOuEpJR1fZQoaAKMDOyDpOudvOyJrOy5tJRoBIwQMjAyNC0wNi0xNyAxNjowMZRoBoxL44SzIOyWtOygnOu2gOuhnCDsvZjtkbjroZzsiqTtirgg64ukIOuoueyWtOyEnCDsgrTsg53qsIHsnbTsl4jripTrjbAg44WO44WOlHVlLg==
arca,https://arca.live/b/hotdeal/109073064?p=1,"24년 햇 국내산 수미,두백 감자 10kg 중 (11,990원/무료)",2024-06-17T15:34:06.000Z,ㅇㅇ,371,0,8,https://mw.wemakeprice.com/deal/631229797,위메프,"24년 햇 국내산 수미,두백 감자 10kg 중","11,990원",무료,"햇감자 중사이즈 수미,두백 10kg 11,990원 ,5kg 7,990원 ,3kg 6,500원 ,가정용아니고 정품 감자 10kg 가 양많은데 가장 kg당 가격은싸구 5kg 3kg도 괜찮은듯",gASVsgEAAAAAAABdlCh9lCiMBmF1dGhvcpSMBU1hcmlulIwEZGF0ZZSMEDIwMjQtMDYtMTcgMTU6MzeUjAdjb250ZW50lIws7Ie87ZWR66qw7JeQ7IScIOykkeynnOuptCDqs6jtlITqs7XtgazquLDsnoSUdX2UKGgCjAzrs4Dtg5zrgqjsnpGUaASMEDIwMjQtMDYtMTcgMTY6MjKUaAaMmuuEiOustCDsnpHsnLzrqbQg7JqU66as7ZWY6riwIOu2iO2OuO2VoOqxuD8K6rCQ7J6Q64qUIO2BrOq4sOyXkCDrlLDrpbgg66ebIOywqOydtCDqt7jrn7DqsbQg7JeG7Jy864uIIArrhIjrrLTsnpHsnYDqsbQg7ZS87ZWY64qU6rKMIOyii+ydjCDrsojqsbDroZzsm4zshJyUdX2UKGgCjAnrp6TsmLnsnbSUaASMEDIwMjQtMDYtMTcgMTc6MDiUaAaMUOuCtCDquLDspIAg7IiY66+464qUIOyqhOuoueydhOuVjCDrqLnqs6Ag65GQ67Cx7J2AIOyalOumrO2VoOuVjCDsgqzsmqntlZjripQg65OvlHVlLg==
