recommend,title,comment,shoppingmall,price,deliveryfee,category,time,author
15,닛신 라오 (라왕) 라멘 6+6,60,위메프플러스,"체감가23,830",무료,먹거리,00:40,아오배고픈데
44,스팸 클래식 200g x 10개,43,네이버,"19,900원",무료,먹거리,00:39,산탄
1,리큐 미니파워 멀티클린 캡슐세제 60개입 + 드라이시트 10매,1,롯데온,"15,210원",무료,생활용품,00:35,삼십이암페어
16,제일제당 동치미물냉면 2인분+함흥비빔냉면 2인분 x 4개(총16인분),12,티몬,"21,141원",무료,먹거리,00:29,본인:
5,노 레스트 포 더 위키드,8,그린맨게이밍,"29,300원",무료,SW/게임,00:28,수면아래생명의첫
10,3초떡볶이 2팩+2팩,31,11번,"6,460원",무료,먹거리,00:22,이금파
15,더단백 프로틴 드링크 250ml 18+18팩,76,위메프,"40,860원",무료,먹거리,00:18,특빠원
6,하루견과 넛츠오리진스 20G X 100봉,10,롯데온,"38,920원",무료,먹거리,00:17,산탄
10,역전재판 456 오도로키 셀렉션,31,스팀,"52,240원",무료,SW/게임,22:57,radiohead
23,시드마이어의 문명 6,84,스팀,"3,250원",0원,SW/게임,22:32,요시네유리아
-2,앤드지 흰 셔츠 외 다양,23,티몬,"6,950원~",무료,의류,22:17,제발그만해줘
2,만한대찬 마라우육면 204g,67,쿠팡,"7,480원",무료,먹거리,21:49,게코모리아
3,페넬로페 세느 85평량 70매 x 20팩,12,위메프,"26,980원",무료,생활용품,21:08,우니짱
32,비쵸비 초코 비스킷 8곽,153,롯데온,"토스카카오14,620",무료,먹거리,20:38,인간사료
12,비비고 한우 사골 곰탕 18개,26,오늘의집,"11,900원",0원,먹거리,20:11,클로라마
-424,K2 역시즌 패딩,113,티몬,"45,900원",3만원이상무배,의류,19:18,박박왕대박
-84,가마솥 두목 감자탕 대용량 3kg 구수한 전통 뼈해장국,56,톡딜,"13,900원",무료,먹거리,17:30,마리마리모
19,크리오 엑스퍼트 브레스케어 치약 100g 3+3,36,네이버,"11,400원",무료,기타,2024.06.08,Knuu
2,더치커피 20+20팩 (1팩당 247원),40,카톡딜,"9,900원",무료,먹거리,2024.06.08,모여봐요동물의숲
-19,아이로드 TX11 QHD/FHD 소니스타비스 2센서,29,네이버,"149,000원",무료,기타,2024.06.08,우니짱
4,클라 파워클린 캡슐세제 40개입 4팩(총160개)+클라코어 30캡슐 증정,6,롯데온,"24,760원",무료,생활용품,2024.06.08,초코수박
13,캡콤 퍼블리셔 6월 특가 프로모션,16,다이렉트 게임즈,다양,무료,SW/게임,2024.06.08,병거니우스
69,요기요 3만원 상품권 대략 10% 할인,144,티몬,"27,354원",0원,모바일/상품권,2024.06.08,긍정적으로
10,비빔면 마라왕 4입 x 5팩 (20봉) + 사은품 비빔면 5입,29,옥션,"11,610원",유클무료,먹거리,2024.06.08,나그파
6,캐나다 진저에일 토닉 제로 300ml 24개 1박스,39,G마켓,"13,860원",무료,먹거리,2024.06.08,응급환자
21,제주항공 김포 오사카 왕복 항공권,69,모두투어,"139,000원",X,기타,2024.06.08,앙냥
26,레노버 LOQ 15ARP9 R7 4060 게이밍 노트북 카할,91,지마켓,"999,000원",무료,PC제품,2024.06.08,foldings
4,"립톤 아이스티 분말 복숭아맛, 1.5kg",45,쿠팡,"11,180원",와우무료,먹거리,2024.06.08,주애리
8,역전재판 456 셀렉션,13,다이렉트게임즈,"46,000원",0원,SW/게임,2024.06.08,샘숭다숭
11,풀무원 바릴라 바질&루꼴라 페스토 190g x 6개 (유통기한 08/17),63,떠리몰,"페이코10,441",0원,먹거리,2024.06.08,히트만
1,"가루비 일품 캇파 에비센 하마미시오 & 와사비맛, 60g, 10개",22,쿠팡직구,"12,600원",와우무료,먹거리,2024.06.08,앙냥
-2,"닛신 면장인 유자소금맛 76g, 10개",59,쿠팡직구,"14,870원",와우무료,먹거리,2024.06.08,앙냥
7,셀렉스 프로핏 단백질 드링크 250ML 36팩 토스,31,티몬,"41,445원",무료,먹거리,2024.06.08,Impopy
15,치즈톡 12봉 / 오징어톡+치즈톡 12봉 / 치즈톡+감자톡 12봉,50,롯데온,"카카오토스12,920",무료,먹거리,2024.06.08,인간사료
5,올반 찰핫도그 15봉 + 크런치핫도그 15봉,14,옥션,"23,910원",무료,먹거리,2024.06.08,Impopy
8,데르뜨 떠먹는젤리 감귤/복숭아/파인애플 3입 8팩 (총 24개입) 택 1,7,롯데온,"토스14,360",0원,먹거리,2024.06.08,히트만
1,디핀다트 구슬아이스크림4가지맛 24개 (농협카드),10,인터파크,"19,900원",무료,먹거리,2024.06.08,제발그만해줘
12,역전재판 456 오도로키 셀렉션 29% 할,24,그린맨게이밍,"46,100원",무료,SW/게임,2024.06.08,여기누구없소
11,피죤 고농축 시그니처 실내건조 섬유유연제 1600ml 3개,9,지마켓,"11,900원",무료,생활용품,2024.06.08,산탄
11,갈배사이다 제로 185ml 30캔/355ml24캔,18,인터파크,"9,450원부터~",무료배송,먹거리,2024.06.08,으럇차찻
22,펩시콜라 제로 355ml 48캔,28,롯데온,"25,020원",무료,먹거리,2024.06.08,뱀상어
6,"매일 소화가 잘되는 우유 “저지방”, 190ml, 24개",23,쿠팡,"13,380원",와우무료,먹거리,2024.06.08,이러면멋있어
2,산들리에 다크초콜릿 30봉,22,티몬,"9,639원",무료,먹거리,2024.06.08,불법
25,끌레도르 프리미엄 아이스크림바 10+10개 골라담기/파인트/미니컵,40,티몬,"토스20,592원",무료,먹거리,2024.06.08,맛째이
